登記案號,類別,案由,主任,登記號數,收件日期,登記日期,公告日期,登記簿,任期判定,屆期判定,法人代表,法人名稱,設立登記日期,主事務所,目的,捐助方法,許可機關日期,存立時期,財產總額,結案原因,結案日期,歸檔日期,發證日期,送達代收人姓名,送達代收人住址,郵遞區號,清算人,變更原因,,
094年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;26號,財團,變更登記,楊麗秋,1,094/05/16,094/05/26,094/06/06,1冊            1頁,2,6,林陳小梅,財團法人台灣省宜蘭縣爐源寺,075/01/29,宜蘭縣羅東鎮西安里維揚路55巷16號,本寺為宣揚道教，奉祀三奶夫人，佛聖恩主褒揚豐功懿德，倡行尊聖效勞，圖謀社會公益事業之發展，奉行教義，勸民行善，修身積德為宗旨,,宜蘭縣政府中華民國88年12月15日88府民禮字第137925號函,永久,3499000,准許,094/05/26,094/07/13,094/06/07,,,,,,
100年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;10號,財團,變更登記,簡豐益,2,100/01/25,100/01/27,100/02/15,1冊            21頁,2,7,吳奇鴻,財團法人宜蘭縣私立五結美德社會福利慈善事業基金會,077/10/04,宜蘭縣五結鄉福興村仁五路一段100巷52號,老人福利、兒童福利、殘障福利、低收入戶照顧、貧困病患之醫療補助、育英事業。,由捐助人出資購買土地全部捐助基金會。,宜蘭縣政府九十二年一月七日府社福字第0910150600號。,永久,51447800,准許,100/01/28,,,,,,,董事改選、事務所地址變更。,
101年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;35號,財團,變更登記,簡豐益,3,101/04/16,101/08/10,101/08/16,1冊            3頁,2,3,多田友子,財團法人天主教仁愛聖母聖衣會,064/05/23,宜蘭縣蘇澳鎮中正路44號,為協助當地主教服務人群，宣揚天主教教義，並供仁愛聖母聖衣會所需之一切設備及經費,捐助,宜蘭縣政府中華民國64年3月28日宜府民行字15598號,永久,564000,准許,101/08/10,,101/08/20,,,,,變更章程、圖記、改選第三屆董事,
102年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;26號,財團,變更登記,楊雅淇,4,102/04/16,102/04/23,102/05/04,1冊            26頁,2,5,洪山川,,079/03/13,宜蘭縣礁溪鄉五峰路91巷10號,,自由捐助,宜蘭縣政府中華民國79年2月21日79府民禮字第13270號函,永久,96869106,准許,102/04/23,,,,,,,第五屆董事許德訓辭任，由董事范玉言繼任,
102年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;21號,財團,變更登記,楊雅淇,5,102/03/12,102/04/09,102/04/17,1冊            22頁,1,11,林聰賢,財團法人蘭陽文教基金會,078/06/29,宜蘭縣宜蘭市復興路2段101號,本會以推展宜蘭縣文教活動，發揮社會教育功能，提昇縣民生活品質為宗旨。,台灣省政府與宜蘭縣政府補助。,宜蘭縣政府中華民國78年6月29日府教社字第56054號函,永久,5000000,准許,102/04/09,,102/04/24,,,,,,
099年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;79號,財團,變更登記,簡豐益,6,099/11/04,099/11/09,099/11/17,1冊            8頁,1,8,莊金若,財團法人天主教宜蘭救主修女會,062/02/13,宜蘭縣宜蘭市神農路2段72號,(一)已辦或籌辦之社會教育宗教公益醫療福利等事業所需用之一切設備及經費。(二)培植本會新入會之修女訓練初學生以及年高病患修女妥善獲得贍養所需一切之設備及經費。,捐贈,宜蘭縣政府中華民國62年1月3日,永久,1695800,准許,099/11/09,,099/11/22,潘培鑫,宜蘭縣宜蘭市新民路92號,260,,登記簿第一(乙)冊第八頁，印鑑簿第一(乙)冊第三頁。,
101年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;74號,財團,變更登記,楊雅淇,7,101/11/08,102/01/21,102/01/29,1冊            32頁,1,8,吳素真,財團法人宜蘭縣私立蘭陽仁愛之家,052/05/04,宜蘭縣礁溪鄉龍泉路31號,以辦理老人福利及社會福利慈善事業為宗旨,地方捐助政府補助,宜蘭縣政府中華民國51年5月1日宜府民社字08號,永久,123149644,准許,102/01/21,,102/01/30,,,,,章程變更,
101年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;41號,財團,變更登記,簡豐益,8,101/05/09,101/05/17,101/05/24,1冊            33頁,2,8,方素敏,財團法人慈林教育基金會,079/06/21,宜蘭縣五結鄉舊街路128號,提倡文教活動，培養優良社會風氣，造就高品質的文明國民,由創立人林義雄、方素敏捐助,宜蘭縣政府中華民國79年5月29日府教社字第41602號函,永久,10000000,准許,101/05/17,,101/05/25,,,,,財產、董事變更,
102年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;45號,財團,變更登記,楊雅淇,9,102/06/05,102/06/18,102/06/26,1冊            9頁,1,3,史培理,財團法人宜蘭縣私立神愛兒童之家,065/09/13,宜蘭縣冬山鄉得安村大埤二路189巷36號,本於基督之精神，以舉辦並發展社會慈善福利事業為宗旨。,由美國及台灣基督徒及愛心人士等捐助。,宜蘭縣政府中華民國64年5月19日宜府社福字第28204號函,永久,13420000,准許,102/06/18,,102/06/28,,,,,董事改選、法人圖記變更。,
103年法登他              字&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;25號,財團,變更登記,楊雅淇,10,103/04/17,103/06/09,103/06/23,5冊            31頁,2,20,林炳焜,財團法人蘭陽林姓興德會,039/08/01,宜蘭縣宜蘭市南興街22號,本財團法人以祀奉蘭陽林姓祠廟追遠堂歷代先賢，辦理林姓子弟獎學及敬老，興辦托兒所，社會救濟等社會公益事業為宗旨,本財團法人之財產由原林姓追遠堂林姓族親鳩資財產捐助之,宜蘭縣政府中華民國38年8月1日,永久,422636,准許,103/06/09,,103/06/26,,,260,,董監事任期屆滿改選、董事印鑑變更,
